00000000,ffffffff,00000000,0
00000001,ffffffff,0000025f,1
00000002,ffffffff,0000000a,2
00000003,00000003,00000000,3
00000004,00000001,00000000,4
00000001,ffffffff,00000267,5
00000002,ffffffff,00000014,6
00000003,00000003,00000000,7
00000004,00000001,00000000,8
00000001,ffffffff,0000026e,9
00000002,ffffffff,0000001e,10
00000003,00000003,00000000,11
00000004,00000001,00000000,12
00000001,ffffffff,00000276,13
00000002,ffffffff,00000028,14
00000003,00000003,00000000,15
00000004,00000001,00000000,16
00000001,ffffffff,0000027d,17
00000002,ffffffff,00000032,18
00000003,00000003,00000000,19
00000004,00000001,00000000,20
00000001,ffffffff,00000285,21
00000002,ffffffff,0000003c,22
00000003,00000003,00000000,23
00000004,00000001,00000000,24
00000001,ffffffff,0000028c,25
00000002,ffffffff,00000046,26
00000003,00000003,00000000,27
00000004,00000001,00000000,28
00000001,ffffffff,00000294,29

